,0_mundsvælgkræft_mundkræft_mundsvælgskræft_mundhulekræft,1_usikkerhed_kræftvaccination_bekymret_bekymrende,2_screeningsalderen_age_gennemsnitsalderen_old,3_hovedhalskræft_livsmoderhalskræft_livmoderhalskræften_kræftforskningen,4_ungdommen_forskningsarbejde_forskningssamarbejde_forskerne,5_skuespillere_skuespiller_skuespillerinden_skuespilleren,6_livmoderhalskræftscreening_screeningsundersøgelse_screeningstest_screeningsundersøgelser,7_livmoderhalsen_livmoderhals_livmoderhalskraft_livsmoderhalskræft,8_cost_omkostning_omkostninger_kosten,9_livmoderhalskræftkoster_finanslovsforslaget_finanslovsforhandlingerne_finanslovsudspillet,10_bivirkningsindberetninger_bivirkningskomitéen_bivirkningskomité_hovedpine,11_livmoderhalskræftkoster_underlivskræft_hpvtest_livmoderhalskraeft,12_kræftvaccinen_kræftforsker_kræftforskere_kræftvacciner,13_pigernesresultatet_vaccinationsprocenten_vaccinationsprocent_antallet,14_bavarian_nordicbavarian_bavariannordic_bava,15_kræftdødsfald_kræftplanen_kræftplan_kræfthandlingsplan,16_kønsvorter_kønsvorte_livmoderhalskræftkoster_kønsvorter2,17_proof_hpvtest_bevis_evidence,18_kønsvorterne_kønsvorter_kønsvorte_kønsvorter2,19_højteknologifonden_kampagneekspert_pseudovidenskab_forskningschef
25,-0.50957245,-0.16000256,0.34417892,1.2157032,0.08404518,1.747295,-0.4315059,-0.91707647,-1.0317293,0.19106473,-1.0401307,0.41822353,-0.20095453,-0.65187466,-0.6468845,-0.9081146,0.6999081,0.73720616,1.0934794,-0.3107388
26,0.77250165,0.45920837,1.4253801,0.26721787,-0.30583602,-0.55649287,-1.1548146,-1.9930533,0.1599941,2.2474053,-0.63109064,0.29198506,-0.160528,0.043300897,-0.7767822,0.27821591,1.4584756,-0.15367688,-0.71719605,-0.26368463
27,0.58095914,0.7852335,0.2722032,1.4515439,-0.6602193,0.42236942,-0.4124532,-1.7469882,-2.4024622,0.36457634,0.12117543,-0.31784716,0.48494962,-0.66360533,-0.791394,0.47179672,0.8023187,-0.93515384,1.8527033,-0.50694764
28,-0.6560707,-0.3464744,0.1536516,0.02202966,1.2238218,-0.8155155,-0.62209713,-1.5285754,0.38480946,-0.10822982,-0.8812284,-0.8511002,-1.5841768,-2.1453195,-0.7440563,-0.87985295,0.7192787,-0.90430486,0.775905,0.2689515
29,0.7420811,2.905925,-1.5083222,1.0110579,-0.0022762695,-0.3501115,-0.14432988,-0.97322834,-0.34826505,0.34645683,-0.28525382,0.28276148,1.2557632,-1.2607228,-0.38273114,0.6031789,0.71786845,0.21045835,1.5799735,0.0072405087
30,0.4744194,-0.7682849,-0.21728905,0.33447993,1.1107223,0.19594371,-0.5004554,0.52841836,-0.6858331,0.9100615,-0.11190049,-0.6236745,4.808021,-1.3977118,0.1752948,0.34447777,0.8201382,-0.1968339,-0.25600618,0.93916225
31,-0.09196396,-0.44949624,1.4429543,0.13065572,-0.4957554,-0.66727394,-0.92498446,0.9225039,-1.9576066,1.4250501,-0.32654357,0.41239837,-0.052670673,0.1271573,-0.4825834,0.064593,-1.3605586,-1.054051,-1.057439,0.5122567
32,-0.58692545,0.010524961,0.6188188,0.34433746,-0.23782958,-0.65190274,-0.7748054,-2.834329,-0.6223581,0.7307209,-0.43741584,0.1349098,-0.65296644,0.37678415,-0.27414304,0.014680822,0.7406279,-0.7776072,-0.38945055,-0.17265175
33,-0.42796916,0.1262769,0.6118604,0.0997726,0.7711708,-0.16321358,0.17787157,-0.034061696,-0.84208614,0.36680496,-0.26443675,-0.03818664,-1.0357784,1.8773522,-0.090300396,-0.6328231,-1.3200116,-1.8145807,0.15915208,0.14654186
34,1.2052883,0.77772754,0.30126682,0.9636788,-0.43040976,0.19202803,-0.05775293,-0.75801766,-2.6613395,0.6128719,-0.4784795,-0.47332886,0.84383905,-0.3720601,-0.10249146,0.059674956,-0.1905418,-0.7987314,1.4768397,0.27014458
